full_group_idd	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	i
153	508.2813524738	508.2812187844	508.2814861631	941.440534413	942.1100364531	2	1	508.2752990723	508.2827148438	928.2752435983	954.8191915866	[141][M+1]+		10	5464822.59016455
153	254.1422400616	254.142175578	254.1423045452	942.7597780624	943.4297986007	2	1	254.1420898438	254.142364502	929.3329373262	955.8732315168	[30][M]+	[M+H]+ 253.135	10	126188650.419603
153	762.4114823293	762.4112077642	762.4117568943	942.7597780624	943.7608147057	2	1	762.404296875	762.4195556641	930.7163469414	955.521786041	[240][M+2]+		10	324464.639097388
153	271.1687185098	271.168648597	271.1687884226	942.4310315715	943.0997330761	2	1	271.1684875488	271.1687927246	929.3329373262	955.8732315168		[M+H+NH3]+ 253.135	10	79212766.7708636
153	531.2545052813	531.2542895441	531.2547210186	942.101804555	942.7705583127	2	1	531.2200317383	531.2947387695	926.4943204155	956.8888756419	[149][M+2]+		10	1884255.22254842
153	761.4152300199	761.4149777913	761.4154822484	943.0900158259	943.7608147057	2	1	761.4071044922	761.4193725586	930.7163469414	955.8732315168	[240][M+1]+		10	631592.702969188
153	255.1510916315	255.150819749	255.151363514	943.7517985429	944.4188813527	2	1	255.1454925537	255.174041748	930.030449745	959.61920612	[30][M+1]+		10	17309217.0456
153	783.3950688415	783.3949829628	783.3951547203	943.0900158259	943.7608147057	2	1	783.2966918945	783.3977661133	930.3750444217	956.2234815566	[249][M+1]+		10	3950944.91012507
153	782.3940978281	782.3938935012	782.3943021551	943.0900158259	943.7608147057	2	1	782.3919677734	782.3958129883	930.3750444217	956.2234815566	[249][M]+	[3M+Na]+ 253.135	10	8201913.8997671
162	517.1896566345	517.1896388008	517.1896744682	941.440534413	942.4410183239	2	1	517.1881103516	517.2603759766	928.2752435983	955.1710567233		[M+Na]+ 494.198 [M+H]+ 516.181	10	6486334.20063823
162	534.2154276396	534.2152834758	534.2155718033	941.7717981963	942.4410183239	2	1	534.194519043	534.2164916992	927.9196796535	955.521786041	[154][M]+	[M+Na+NH3]+ 494.198 [M+H+NH3]+ 516.181	10	17175237.3204146
162	512.2344782181	512.2344520748	512.2345043613	941.7717981963	942.4410183239	2	1	512.2330932617	512.3049926758	928.2752435983	955.1710567233	[143][M]+	[M+H+NH3]+ 494.198	10	12685765.7454793
162	513.2377588747	513.2377193102	513.2377984392	941.7717981963	942.4410183239	2	1	513.2348632813	513.3073120117	928.2752435983	955.1710567233	[143][M+1]+		10	2998553.18223883
162	540.1829601814	540.1829458097	540.182974553	940.1019473693	941.1063445553	2	1	540.0559692383	540.2050170898	926.1417180493	954.8191915866	[159][M+1]+		287	7243803.95212284
162	495.2069605424	495.206922165	495.2069989198	942.4310315715	943.0997330761	2	1	495.2055664063	495.2785339355	929.3329373262	955.521786041	[133][M]+	[M+H]+ 494.198	10	3478512.66662589
162	259.0976290343	259.0975646363	259.0976934324	941.7717981963	942.4410183239	2	1	259.0974731445	259.098236084	927.5623766927	955.521786041		[M+H+Na]2+ 494.198 [M+2H]2+ 516.181	10	28552602.4701759
162	496.2095737844	496.2094364594	496.2097111094	942.4310315715	943.0997330761	2	1	496.2074279785	496.2370605469	929.3329373262	955.521786041	[133][M+1]+		10	741366.719585144
162	533.1536505076	533.1535587244	533.1537422909	941.440534413	942.1100364531	2	1	533.1390380859	533.2346801758	927.5623766927	955.521786041		[M+K]+ 494.198	10	5915166.68025457
162	297.0548652941	297.0547763822	297.054954206	940.7797912841	941.4366886584	2	1	297.0533447266	297.121307373	926.8490096113	956.5700869295		[M+Na+2K-H]2+ 494.198 [M+2K]2+ 516.181	10	12899248.7470191
162	775.2783860129	775.2780978801	775.2786741457	941.7717981963	942.4410183239	2	1	775.2557373047	775.3483276367	927.5623766927	955.521786041		[3M+3Na-H]2+ 494.198 [3M+2H]2+ 516.181	10	783532.127537138
162	794.2507859925	794.2506042757	794.2509677093	942.7597780624	943.4297986007	2	1	794.247253418	794.253112793	926.8490096113	955.8732315168		[3M+H+K]2+ 516.181	10	1090974.68827829
162	539.1707967161	539.1706636574	539.1709297747	941.7717981963	942.4410183239	2	1	539.1497802734	539.1713256836	927.5623766927	955.8732315168	[159][M]+	[M+2Na-H]+ 494.198 [M+Na]+ 516.181	10	28430395.8761767
162	535.218753333	535.2186053738	535.2189012923	941.440534413	942.1100364531	2	1	535.1505737305	535.2533569336	927.9196796535	955.521786041	[154][M+1]+		10	4034417.5278033
162	514.227494023	514.2274558812	514.2275321647	942.101804555	942.7705583127	2	1	514.0529785156	514.2307128906	928.2752435983	955.1710567233	[143][M+2]+		10	890801.2572685
287	576.1282971068	576.1282832933	576.1283109204	124.6129282325	126.3022404916	2	1	576.1262817383	576.1293334961	112.3569923477	137.3130076181	[179][M+1]+		4	2869865.81433736
287	537.1701352929	537.1701221375	537.1701484482	124.2937375468	125.6636618668	2	1	537.1661987305	537.2678833008	111.9940617771	136.5981700078	[158][M]+	[M+H]+ 536.162	4	152542422.223198
287	538.1733170223	538.1733111654	538.1733228792	124.2937375468	125.6636618668	2	1	538.1625366211	538.1742553711	111.9940617771	136.5981700078	[158][M+1]+		4	35701063.8409931
287	539.1755672688	539.1755592922	539.1755752454	124.2937375468	125.6636618668	2	1	539.1622924805	539.1983642578	111.9940617771	136.5981700078	[158][M+2]+		4	6919667.1562752
287	824.2241457323	824.2240621638	824.2242293008	124.2937375468	125.6636618668	2	1	824.2200927734	824.2270507813	111.9940617771	136.5981700078		[3M+H+K]2+ 536.162	4	448461.376094695
287	575.1250700311	575.1250510373	575.1250890249	124.6129282325	126.3022404916	2	1	575.1245727539	575.1262817383	112.3569923477	137.3130076181	[179][M]+	[M+K]+ 536.162	4	12885435.6302244
287	307.0440958432	307.0440811488	307.0441105376	125.8941151388	127.5891515876	2	1	307.0010986328	307.044342041	113.794679025	139.1070092183		[M+2K]2+ 536.162	4	32340949.5029594
287	561.1571271687	561.1569410397	561.1573132978	124.6129282325	125.9819660031	2	1	561.1545410156	561.3237304688	112.3569923477	136.9548991378	[167][M+2]+		4	4104283.89691169
287	560.1543493823	560.1543348162	560.1543639483	124.6129282325	125.9819660031	2	1	560.1506958008	560.1602172852	111.9940617771	136.9548991378	[167][M+1]+		4	21201242.3645295
287	843.1969734024	843.1969692993	843.1969775056	124.2937375468	125.6636618668	2	1	843.1940307617	843.1987915039	111.9940617771	136.5981700078		[3M+2K]2+ 536.162	4	341317.408914597
287	577.124876927	577.1247890783	577.1249647758	124.6129282325	126.3022404916	2	1	577.1227416992	577.2232666016	112.3569923477	137.3130076181	[179][M+2]+		4	1131694.76121065
287	559.1511744607	559.151169211	559.1511797104	124.6129282325	125.9819660031	2	1	559.1506347656	559.3082885742	111.9940617771	136.9548991378	[167][M]+	[M+Na]+ 536.162	4	92903757.2317708
790	500.3036660125	500.3036272572	500.3037047678	888.2029899316	888.8028347097	2	1	500.2179870605	500.3054199219	875.8556319061	901.3474537198	[137][M]+	[M+H+NH3]+ 482.27	14	116349614.579409
790	501.3068146291	501.3067803624	501.3068488959	888.2029899316	888.8028347097	2	1	501.2623291016	501.3206481934	875.4961922032	900.9938267914	[137][M+1]+		14	25040212.0913543
790	483.2771040394	483.2770698229	483.2771382559	888.2029899316	888.8028347097	2	1	483.2192382813	483.2774353027	875.8556319061	901.3474537198	[127][M]+	[M+H]+ 482.27	14	41576981.5441537
790	507.2540959093	507.2539305614	507.2542612572	887.8754743042	888.1438612111	2	1	507.1996765137	507.2829284668	875.8556319061	896.6672234749	[139][M+2]+		14	2151343.31364292
790	502.2972431205	502.2971764603	502.2973097807	888.2029899316	888.8028347097	2	1	502.1879882813	502.3233642578	875.4961922032	900.9938267914	[137][M+2]+		14	9300007.8555436
790	724.4114864683	724.4114463047	724.4115266319	887.8754743042	888.1438612111	2	1	724.4081420898	724.4325561523	875.4961922032	900.617975172		[3M+2H]2+ 482.27	14	1124946.61764638
790	506.2631882175	506.2631777065	506.2631987285	888.8605728445	889.1337216666	2	1	506.2077636719	506.3437194824	876.2145223999	901.702088758	[139][M+1]+		14	5828281.25235505
790	484.280188018	484.2801741476	484.2802018885	888.2029899316	888.8028347097	2	1	484.204284668	484.281036377	875.8556319061	901.3474537198	[127][M+1]+		14	8638077.19251567
790	505.2590686609	505.2590140117	505.2591233101	888.8605728445	889.4647810634	2	1	505.2036743164	505.3387145996	876.2145223999	902.0544389341	[139][M]+	[M+Na]+ 482.27	14	28035996.1907845
790	965.5475528886	965.5473445658	965.5477612113	888.1438612111	888.2029899316	2	1	965.5413818359	965.5504150391	875.4961922032	900.617975172		[2M+H]+ 482.27	14	484162.185817343
790	503.3016663388	503.3016196256	503.3017130519	888.2029899316	888.8028347097	2	1	503.298034668	503.3025817871	875.4961922032	900.9938267914	[137][M+3]+		14	1930400.24126155
790	521.2317263405	521.2316195359	521.231833145	888.8028347097	888.8605728445	2	1	521.0535888672	521.2340087891	876.4321963516	899.5407154235		[M+K]+ 482.27	14	1198403.51873953
821	494.1923395584	494.1922833255	494.1923957912	889.1858451391	889.4647810634	2	1	494.1884155273	494.2608032227	876.2145223999	901.702088758	[132][M+1]+		14	2742482.11633926
821	739.2771018573	739.27704743	739.2771562847	890.1797699493	890.7865376502	2	1	739.2727050781	739.2985229492	877.6464521743	903.4493770035		[3M+2H]2+ 492.18	14	790017.360656345
821	493.1889590133	493.1889588055	493.1889592212	889.1858451391	889.7957725801	2	1	493.1875915527	493.2418823242	876.5726837192	902.0544389341	[132][M]+	[M+H]+ 492.18	14	12950117.4422628
821	515.1703985508	515.1703551176	515.1704419841	889.8490099065	890.4555696587	2	1	515.0894165039	515.2467041016	877.2875988078	903.1010155285	[145][M]+	[M+Na]+ 492.18	14	31723545.9391009
821	758.2516150792	758.2515072725	758.2517228858	888.8605728445	889.4647810634	2	1	758.2202148438	758.3243408203	876.2145223999	901.702088758		[3M+H+K]2+ 492.18	14	1757309.84142266
821	516.1737561664	516.1737187557	516.1737935772	889.8490099065	890.4555696587	2	1	516.0847167969	516.184387207	877.2875988078	903.1010155285	[145][M+1]+		14	6571282.01100024
821	517.1638662304	517.1637119973	517.1640204635	889.518001311	889.7957725801	2	1	517.0536499023	517.1961669922	877.2875988078	900.2611543219	[145][M+2]+		14	2383073.01957346
821	510.2162008409	510.2161143029	510.2162873788	889.518001311	890.1256750232	2	1	510.2138671875	510.2898864746	876.9311357413	902.7534231746		[M+H+NH3]+ 492.18	14	19617719.3445489
821	769.2471143758	769.2471115807	769.2471171708	890.5124987995	890.7865376502	2	1	769.2410888672	769.2770385742	878.7198967453	902.4035465692		[3M+Na+K]2+ 492.18	14	519732.550397432
821	777.2330645154	777.232873006	777.2332560249	890.5124987995	890.7865376502	2	1	777.0909423828	777.2391357422	877.6464521743	903.7993456888		[3M+2K]2+ 492.18	14	972950.651509903
821	531.1426682384	531.1425257452	531.1428107317	891.1960270536	891.4519936027	2	1	531.0843505859	531.1867675781	879.4370989242	903.7993456888		[M+K]+ 492.18	14	3461713.11591997
821	495.1816731224	495.1814779862	495.1818682585	889.1858451391	889.7957725801	2	1	495.0596923828	495.2213745117	878.3611315007	899.5407154235	[132][M+2]+		14	937458.835258869
160	513.1525325747	513.1523091274	513.152756022	859.6300156993	860.1736625673	2	1	513.0732421875	513.1588745117	846.5642214729	872.6204647064		[2M+H]+ 256.075	20	2531135.79192499
160	536.14175495	536.1417439761	536.1417659238	860.62903374	860.83796305	2	1	535.9512939453	536.143371582	847.6439277606	873.697235662	[155][M+1]+		20	2262789.27507271
160	535.1377512756	535.1377400699	535.1377624813	860.62903374	860.83796305	2	1	535.0009765625	535.1399536133	847.6439277606	873.697235662	[155][M]+	[2M+Na]+ 256.075	20	10382838.1123936
160	296.0391998929	296.0390981004	296.0393016853	860.62903374	861.17109783	2	1	295.9563293457	296.0491333008	847.284453326	875.4961922032	[49][M+1]+		20	646757.940802456
160	279.0667533724	279.0665358728	279.066970872	861.2941506297	861.5056711585	2	1	279.0638122559	279.1593933105	848.3625552209	875.8556319061		[M+Na]+ 256.075	20	89998827.3878984
160	295.0377017	295.0376872271	295.0377161729	861.2941506297	861.8387946062	2	1	294.9387207031	295.0381774902	848.7238717512	877.6464521743	[49][M]+	[M+K]+ 256.075	20	5677865.12161761
160	792.2157715995	792.21577057	792.215772629	860.2950536244	860.5056049644	2	1	792.2149658203	792.217590332	847.284453326	872.9826778068	[250][M+1]+		20	949422.064168852
160	791.2130019255	791.2129955201	791.2130083308	860.2950536244	860.83796305	2	1	791.123046875	791.2138061523	847.284453326	873.3382210176	[250][M]+	[3M+Na]+ 256.075	20	2603138.91892169
160	274.1078335118	274.1077958338	274.1078711899	860.2950536244	860.5056049644	2	1	274.087310791	274.1089172363	847.6439277606	874.7799251519		[M+H+NH3]+ 256.075	20	4261642.18739906
160	257.0810568273	257.0810263861	257.0810872685	860.2950536244	860.5056049644	2	1	256.9644470215	257.0822143555	848.002914427	872.9826778068		[M+H]+ 256.075	20	29540474.4726013
160	793.212006366	793.2119739687	793.2120387633	859.9627482762	860.5056049644	2	1	793.2092895508	793.21484375	847.284453326	872.9826778068	[250][M+2]+		20	415508.292893339
364	364.6781127804	364.6779525462	364.6782730146	685.7133488325	685.9108642365	2	1	364.6763305664	364.7282409668	672.5074856612	699.5630115082		[M+Na+K]2+ 667.402	80	827022.33113311
364	367.6843057581	367.6840979822	367.6845135339	685.3539218416	685.5524470768	2	1	367.6812744141	367.7174377441	672.1626486232	699.1973182463		[M+3Na-H]2+ 667.402	80	4602509.80409925
364	691.3943476866	691.3942232627	691.3944721105	684.994492057	685.1959001231	2	1	691.3020629883	691.395690918	671.817146953	698.4626132165	[221][M+1]+		80	1594987.43566782
364	353.6818157081	353.6816916321	353.6819397842	684.6342168722	684.8365929468	2	1	353.681060791	353.7220153809	671.817146953	698.0966098276		[M+H+K]2+ 667.402	80	526331.9572803
364	690.3893788051	690.38921986	690.3895377503	684.994492057	685.1959001231	2	1	690.3175048828	690.3927001953	671.817146953	698.4626132165	[221][M]+	[M+Na]+ 667.402	80	4694227.20694008
364	345.6995262939	345.6994489374	345.6996036504	684.994492057	685.1959001231	2	1	345.6992797852	345.700592041	672.1626486232	698.4626132165		[M+H+Na]2+ 667.402	80	7250264.43946042
364	669.4126270857	669.4124515391	669.4128026323	684.994492057	685.1959001231	2	1	669.4113769531	669.4134521484	672.5074856612	698.4626132165	[214][M+1]+		80	4865142.17094796
364	668.409525929	668.4093693388	668.4096825192	684.994492057	685.1959001231	2	1	668.4005737305	668.4349365234	672.5074856612	698.4626132165	[214][M]+	[M+H]+ 667.402	80	14054127.1223076
364	670.413531236	670.4133558596	670.4137066123	684.994492057	685.1959001231	2	1	670.2963256836	670.4165039063	672.5074856612	698.4626132165	[214][M+2]+		80	1025943.25819129
364	334.7086283302	334.7085513573	334.7087053031	684.6342168722	684.8365929468	2	1	334.7080688477	334.7217407227	671.7290164903	698.0966098276		[M+2H]2+ 667.402	80	1802175.14358655
364	706.3655299191	706.3653185279	706.3657413104	684.994492057	685.5524470768	2	1	706.3611450195	706.3677368164	672.1626486232	698.0966098276		[M+K]+ 667.402	80	310847.053062619
733	465.2604958364	465.260457397	465.2605342757	710.3184495758	710.4673034705	2	1	465.2008056641	465.2704772949	697.7336719773	724.0391753412	[118][M+2]+		17	3936007.99660624
733	501.2033838394	501.2033802522	501.2033874266	710.1302132371	710.3184495758	2	1	501.1994934082	501.2805175781	698.0966098276	722.1915978285		[M+K]+ 462.247	17	1427518.20603154
733	464.2588581493	464.2588489966	464.258867302	710.4673034705	710.6560161716	2	1	464.2578125	464.2600708008	697.7336719773	723.6737519526	[118][M+1]+		17	24058030.1428846
733	507.2236351197	507.2234967066	507.2237735328	709.7937285106	709.982083242	2	1	507.219909668	507.2865905762	696.1087815462	723.0513465592	[140][M]+	[M+2Na-H]+ 462.247	17	6824999.6819854
733	508.2288048504	508.2284361008	508.2291736001	711.0097052656	711.1398692521	2	1	508.1800231934	508.2904663086	698.0966098276	725.5120673183	[140][M+1]+		17	1754498.3631832
733	486.2411513692	486.241135849	486.2411668894	710.6560161716	710.803373924	2	1	486.1941223145	486.2721252441	698.6618573243	722.9307658737	[128][M+1]+		17	3745275.03924323
733	485.237636931	485.2376313728	485.2376424893	710.3184495758	710.4673034705	2	1	485.2367553711	485.2435913086	697.2007852303	722.9307658737	[128][M]+	[M+Na]+ 462.247	17	15042209.3714287
733	463.2557042722	463.2556994646	463.2557090798	710.4673034705	710.6560161716	2	1	463.2537841797	463.2561035156	697.7336719773	723.6737519526	[118][M]+	[M+H]+ 462.247	17	93912148.1303244
257	572.3035894328	572.3035610798	572.3036177857	961.9034877968	962.563658956	2	1	572.2292480469	572.3060302734	949.492690407	974.4079154522	[177][M]+	[M+H+NH3]+ 554.271	11	16429851.2573356
257	555.276799878	555.2767246393	555.2768751167	961.5783902415	962.2386276838	2	1	555.166015625	555.2793579102	949.492690407	973.6979472232	[165][M]+	[M+H]+ 554.271	11	5513522.159666
257	574.2991308128	574.298791212	574.2994704136	961.9034877968	962.563658956	2	1	574.1885986328	574.3018188477	949.492690407	974.4079154522	[177][M+2]+		11	1308622.33428898
257	573.3068887797	573.3068635745	573.306913985	961.9034877968	962.563658956	2	1	573.3055419922	573.3072509766	949.492690407	974.4079154522	[177][M+1]+		11	4596484.34909808
257	832.4127027501	832.4126339405	832.4127715597	961.9034877968	962.2386276838	2	1	832.3409423828	832.4143676758	949.492690407	974.053079506		[3M+2H]2+ 554.271	11	546932.494784299
257	300.1297831765	300.1296752964	300.1298910567	961.9034877968	962.2386276838	2	1	300.1239624023	300.202331543	949.492690407	974.4079154522		[M+2Na]2+ 554.271	11	6600874.11906046
257	577.257615031	577.2575244434	577.2577056186	962.2280479954	962.563658956	2	1	577.1843261719	577.2601928711	949.8369870862	974.762694105	[181][M]+	[M+Na]+ 554.271	11	5753835.57129058
257	556.2802504337	556.2802209186	556.2802799487	961.9034877968	962.563658956	2	1	556.2098999023	556.2811889648	950.1607475253	972.9839853991	[165][M+1]+		11	1513352.8182912
