peakID	mzmed	mzmin	mzmax	rtmin	rtmax	npeaks	all_sample_valid	mzmin_full	mzmax_full	rtmin_full	rtmax_full	isotopes	adduct	pcgroup	medianPurity	i
791	276.1306696492	276.1302138756	276.1311254229	256.2834599603	257.889334713	2	1	276.053527832	276.1347045898	242.3428094403	269.2772610055			1234	1	4331464.73805002
383	206.206606304	206.2064724417	206.2067401662	890.1797699493	890.7865376502	2	1	206.1079864502	206.2119293213	877.6464521743	902.7534231746			629	1	4404275.04510044
989	299.1050772243	299.1050461209	299.1051083276	376.5017679762	377.816788231	2	1	298.9527893066	299.1106872559	359.2054538557	390.6348032707			150	1	4460230.41478807
869	286.201546967	286.2015267998	286.2015671342	710.803373924	711.0097052656	2	1	286.2011108398	286.2743225098	697.7336719773	724.0391753412		[M+H]+ 285.195	49	1	4579966.30938198
962	296.1583929157	296.158353252	296.1584325795	92.1308965985	92.7561235205	2	1	296.1580200195	296.1600952148	80.4113012379	105.5588320532			81	1	4825574.60680886
902	290.0868507528	290.0862597389	290.0874417668	250.9584092246	252.5280689406	2	1	289.993927002	290.1141052246	237.6427694427	263.1267969455		[M+Na]+ 267.097	51	1	4873244.63118214
806	278.1767298475	278.1766663935	278.1767948562	1222.1849922599	1223.2257662761	4	1	278.1748962402	278.2689819336	1209.3515163969	1234.0947869331			254	1	4912322.79988606
519	238.144193134	238.1440545838	238.144382408	1156.8179377752	1158.5842131934	4	1	238.1435852051	238.1569366455	1144.014361021	1169.7337506132			1551	1	4932911.44894531
1	100.0758092609	100.0757831683	100.0758353535	49.1301425486	49.5774329994	2	1	100.0242385864	100.112159729	37.7765892881	61.0760937009			8	1	5404920.48952182
107	142.0610509405	142.060530733	142.0615711481	261.5115427933	262.7942438981	2	1	141.9655914307	142.0655517578	248.8365272252	273.9191235592			6	1	5504898.59769521
945	295.0377017	295.0376872271	295.0377161729	861.2941506297	861.8387946062	2	1	294.9387207031	295.0381774902	848.7238717512	877.6464521743	[116][M]+	[M+K]+ 256.075	30	1	5677865.12161761
259	178.1569784021	178.1569761735	178.1569806307	920.9719946456	921.6422826588	2	1	178.1562042236	178.1600952148	907.9948020971	933.3695096543			24	1	5828923.07053638
