peakID	mz	intensity	isotopes	adduct	groupid	bestAdductScore	clustn	medianPurity	intp	addp	clustnp	pp	intensityw	adductw	clustnw	purityw	totalS	excluded	excludedFinal
10	110.07146066750001	9019722.9547165502			9	8.0	1.0	0.0	0.58061287948004014	30.0	0.0	0.0	0.17418386384401205	9.0	0.0	0.0	9.1741838638440125	1	1
716	387.22426741700002	8930786.9208327308			511	8.0	1.0	0.0	0.57481184318629053	30.0	0.0	0.0	0.17244355295588715	9.0	0.0	0.0	9.1724435529558868	1	1
224	255.1752374113	8810600.2882748898			158	8.0	1.0	0.0	0.56697242212100707	30.0	0.0	0.0	0.17009172663630212	9.0	0.0	0.0	9.1700917266363025	1	1
630	366.21412331739998	8751458.5661572404			448	8.0	1.0	0.0	0.56311478128076542	30.0	0.0	0.0	0.16893443438422961	9.0	0.0	0.0	9.1689344343842301	1	1
101	182.1907961746	8623776.1744409297			75	8.0	1.0	0.0	0.55478643385989146	30.0	0.0	0.0	0.16643593015796743	9.0	0.0	0.0	9.1664359301579665	1	1
933	445.29427845409998	8623542.2199967299			674	8.0	1.0	0.0	0.55477117369859774	30.0	0.0	0.0	0.16643135210957932	9.0	0.0	0.0	9.1664313521095799	1	1
855	426.20299337569998	8613719.6420870703			624	8.0	1.0	0.0	0.55413047578950769	30.0	0.0	0.0	0.16623914273685231	9.0	0.0	0.0	9.1662391427368526	1	1
480	327.14168388280001	8610393.7919132207			347	8.0	1.0	0.0	0.55391354035036644	30.0	0.0	0.0	0.16617406210510993	9.0	0.0	0.0	9.1661740621051102	1	1
926	444.24609561	8609452.9083119407			668	8.0	1.0	0.0	0.55385216927633873	30.0	0.0	0.0	0.16615565078290162	9.0	0.0	0.0	9.1661556507829012	1	1
307	284.09994114670002	8462171.9774316102			217	8.0	1.0	0.0	0.54424546670480123	30.0	0.0	0.0	0.16327364001144037	9.0	0.0	0.0	9.1632736400114396	1	1
859	427.29224476450003	8430844.8650804106			628	8.0	1.0	0.0	0.5422020911708183	30.0	0.0	0.0	0.16266062735124548	9.0	0.0	0.0	9.1626606273512454	1	1
70	168.07837353619999	8257268.8090913901			54	8.0	1.0	0.0	0.53088023481466906	30.0	0.0	0.0	0.15926407044440072	9.0	0.0	0.0	9.1592640704444008	1	1
726	389.24005597209998	8256513.5865431502			518	8.0	1.0	0.0	0.53083097386586264	30.0	0.0	0.0	0.15924929215975878	9.0	0.0	0.0	9.1592492921597586	1	1
442	318.18168684310001	8240634.2544591501			316	8.0	1.0	0.0	0.52979521167007904	30.0	0.0	0.0	0.1589385635010237	9.0	0.0	0.0	9.1589385635010245	1	1
257	267.13422822199999	8174402.0143636502			181	8.0	1.0	0.0	0.5254750771663047	30.0	0.0	0.0	0.15764252314989141	9.0	0.0	0.0	9.1576425231498906	1	1
799	409.17340793250003	8167755.6210190104			578	8.0	1.0	0.0	0.52504155244824546	30.0	0.0	0.0	0.15751246573447364	9.0	0.0	0.0	9.1575124657344737	1	1
772	403.1981554752	8161552.8367167497			554	8.0	1.0	0.0	0.52463696304518392	30.0	0.0	0.0	0.15739108891355516	9.0	0.0	0.0	9.1573910889135544	1	1
11	112.8962276803	8158133.8773371698			10	8.0	1.0	0.0	0.52441395436600557	30.0	0.0	0.0	0.15732418630980166	9.0	0.0	0.0	9.1573241863098023	1	1
773	403.2193222514	8154448.3650873797			555	8.0	1.0	0.0	0.52417355922594311	30.0	0.0	0.0	0.15725206776778292	9.0	0.0	0.0	9.1572520677677822	1	1
815	414.24568186900001	8149785.9034499703			591	8.0	1.0	0.0	0.52386944054653184	30.0	0.0	0.0	0.15716083216395954	9.0	0.0	0.0	9.1571608321639602	1	1
348	295.16589563820003	8088978.7137601301			247	8.0	1.0	0.0	0.51990316614787269	30.0	0.0	0.0	0.1559709498443618	9.0	0.0	0.0	9.1559709498443613	1	1
468	324.15535385210001	8068946.4358193697			337	8.0	1.0	0.0	0.51859651949065122	30.0	0.0	0.0	0.15557895584719536	9.0	0.0	0.0	9.1555789558471954	1	1
674	377.1824596445	8044968.3496381901			481	8.0	1.0	0.0	0.51703249935036266	30.0	0.0	0.0	0.1551097498051088	9.0	0.0	0.0	9.1551097498051082	1	1
515	338.16745314159999	8042851.2242687596			375	8.0	1.0	0.0	0.51689440548030618	30.0	0.0	0.0	0.15506832164409184	9.0	0.0	0.0	9.1550683216440927	1	1
438	317.18230887969997	8021530.7326153005			312	8.0	1.0	0.0	0.51550373242596381	30.0	0.0	0.0	0.15465111972778914	9.0	0.0	0.0	9.1546511197277898	1	1
916	442.26728483580001	7967606.29906091			662	8.0	1.0	0.0	0.5119863999960339	30.0	0.0	0.0	0.15359591999881017	9.0	0.0	0.0	9.1535959199988106	1	1
191	243.11777689549999	7945176.9241797002			133	8.0	1.0	0.0	0.51052339774542776	30.0	0.0	0.0	0.15315701932362832	9.0	0.0	0.0	9.1531570193236291	1	1
431	315.13405849669999	7858069.7807660196			307	8.0	1.0	0.0	0.50484165460577168	30.0	0.0	0.0	0.1514524963817315	9.0	0.0	0.0	9.1514524963817312	1	1
227	257.1285984987	7836865.6632032199			161	8.0	1.0	0.0	0.50345857229158364	30.0	0.0	0.0	0.15103757168747509	9.0	0.0	0.0	9.1510375716874748	1	1
308	284.10101016570002	7823627.1777441604			218	8.0	1.0	0.0	0.50259506476523497	30.0	0.0	0.0	0.15077851942957049	9.0	0.0	0.0	9.1507785194295703	1	1
475	326.15459458869998	7813923.46107239			342	8.0	1.0	0.0	0.50196211982560857	30.0	0.0	0.0	0.15058863594768257	9.0	0.0	0.0	9.1505886359476829	1	1
94	181.10926376309999	7790737.1963518402			71	8.0	1.0	0.0	0.50044974787369423	30.0	0.0	0.0	0.15013492436210826	9.0	0.0	0.0	9.1501349243621082	1	1
408	308.1081609908	7601601.8554239199			291	8.0	1.0	0.0	0.48811300505708893	30.0	0.0	0.0	0.14643390151712668	9.0	0.0	0.0	9.1464339015171259	1	1
1378	553.33578465660003	7542792.5448294599			963	8.0	1.0	0.0	0.48427704644424463	30.0	0.0	0.0	0.14528311393327339	9.0	0.0	0.0	9.1452831139332726	1	1
1180	505.26214433140001	7531158.8885432901			844	8.0	1.0	0.0	0.48351821721161609	30.0	0.0	0.0	0.14505546516348483	9.0	0.0	0.0	9.1450554651634857	1	1
